,Unnamed: 0,doc_id,text,score1_int,num
0,1,1,  小虫子    食記 學問 雞腿 堡餐 時間        今天 路過 爺爺 點的 學問 雞腿 套餐 其實 廣告 拐到 刮刮卡 飲料 現在 都點 因為 愛喝 冷茶 如果 無糖 更好 還點 沙拉 四彩 纖蔬 一個 榛果 鐵蛋 然後 刮刮卡 刮到 玉米 一支 接著        發信站 踢踢 實業      附贈 後來 拍大 直橋           完肯 機基 拍大 直橋       而且 這麼 漂釀       網誌 好吃       小心 燙口       看起來 好吃       蛋塔       拍的好     ,1,196
1,2,2,  小虫子    食記 肯德基 蛋蛋 時間                 雖然 下雨天 但是 還是 大家 分享 發信站 踢踢 實業    金屬 蛋塔 每次 點餐 覺得 自己 標準     編輯  來自     ,0,67
2,3,3,  流浪    食記 異國 輕鬆 三味 時間        昨天晚上 三國 料理 想要 三種 食記 感覺 好像 真是 滿累 的吼 沒關係 反正 我愛寫 加上 可以 剪下 異國 優惠券 光臨 沒有 推門 進入 看到 排隊 還真 看來 恐怕 臨時 想到 背包 沒有 任何 一枝 可以 餐盤 墊紙 食記 以致於 一次 去吃 燒肉 珍珠 炸雞 普羅克 濃湯 當場 寫下 心得 幸好 腦袋瓜 還算 可以 對於 前一天 品嚐 印象 記憶 鮮明 無損 天才 食記 內容 這次 十分 明白 自己 就是 三種 不同 異國 如果 不食 完畢 立刻 寫下 食記 的話 自己 腦袋瓜 有點 放心 錯亂 於是 只好 進了 推門 離去 走到 最近 架上 便宜 的筆 帳再 返回 此時 人潮 已退 一下子 我點 餐了 當我 拿出 券子 台服 人員 專業 地問 一句 三種 口味 各一嗎 樂得 要說 聲好 服務 人員 事先 收錢 飲料 已經 先上 餐盤 看到 飲料 餐盤 直接 反應 想走 最近 都走 習慣 之下 關係 想到 錢還 沒有 但櫃台 服務 人員 離櫃 有點 不知所措 等到 想到 所來 的並 不是 飲料 湯品 一上 可以 離櫃 尋位 等待 付好 餐盤 份量 可以 吃得完 各種 不同 口味 異國 奮地 個位 好好 享受 突然 櫃台 服務 人員 叫住 我說 發票 當時 正好 進行 轉身 動作 突然 停格 一樣 然後 立定 向後轉 單手 發票 嘴裏 謝謝 聽到 櫃台 服務 人員 窩心 一句 慢用 之後 真的 走人 準備 大快朵頤 沒想到 原本 擔心 沒有 位置 多餘 自由 地換 好幾個 位子 決定 坐定 哪裏 坐下 檸檬 紅茶 拿離 餐盤 墊紙 以免 沾濕 難以 寫字 接著 雙眼 發亮 輪流 看著 三個 知道 一種 口味 開始 下手 比較 最後 終於 決定 接下來 按照 順序 來作 各別 說明 部份 西哥 餅皮 稱號 雖然 沒有 餐盤 墊紙 印刷 出來 顏色 金黃 帶點 微焦 口感 鬆軟 聞起來 有股 淡淡的 香氣 壓桿 很薄 厚薄 十分 平均 起來 聯起 陣子 烤餅 餅皮 只是 厚度 各不相同 罷了 起來 不錯 餅皮啦 法式 鮭魚 曉得 先選 一個 所以 一個 不務正業 開發 魚類 產品 本來 這一 口味 應該 屬於 清爽 其醬 調入 一種 叫作 蒔蘿 香料 使得 鮭魚 變成 但並 不會 口味 只是 沙拉 基底 醬汁 氣味 濃厚 強烈 而已 起來 味道 有意思 法式 鮭魚 包裹 長條 鮭魚 大量 生菜 得到 鮭魚 條在 鮭魚 十分 新鮮 美味 生菜 雖然 包葉 萵苣 不是 餐盤 墊紙 萵苣 但量 新鮮 脆口 所以 不用 計較 這一 整體 起來 感覺 真是 滿棒的 凱撒 雞肉 皮裏 包著 雞米花 長久 耳聞 凱撒 沙拉 盛名 沒有 吃過 所以 心裏 面便 自己 這種 輕食類 沙拉 設定 清爽 清淡 味道 但當 義式 凱撒 雞肉 放進 嘴裏 咀嚼 過後 知道 自己 一樣 口味 的餅 沙拉醬 作為 基底 醬汁 調和 一種 陌生 未曾 鮭魚 使用 並不相同 香料 起來 感覺 鮭魚 一樣 有意思 只是 滋味 主料 並不相同 而已 辣味 因為 雞米花 本身 就是 口味 而且 還有 還滿辣 地方 裏面 包覆 內容 十分 簡單 只有 大量 新鮮 脆口 生菜 排成 條狀 不少 雞米花 整體 起來 感覺 也還 不錯 墨西哥 雞肉 這個 應該 舊作 應該 曾經 吃過 一次 因為 時間 過得 太久 以致於 早就 忘記 什麼 滋味 墨西哥 雞肉 內容 比較 前面 相同 雖然 裏面 雞米花 包夾 蔬菜 一味 新鮮 置疑 蕃茄 生菜 量則 有略減 特製 醬汁 沙拉醬 加入 黑胡椒 整個 口感 它會 不會 因為 醬料 加上 所以 一路 到底 不過 雖然 用料 義式 凱撒 感覺 只有 醬料 味道 不同 蕃茄 而已 所以 起來 應該 像是 兄弟 相差不多 就是 因為 改變 味道 加上 醬料 不同 所以 凱撒 滋味 絕對 相同 只是 整體 起來 口味 嚴格 起來 並不 所以 可惜 另外 一提 這個 加入 蕃茄 所以 比較 以上 食感 如果 比較 三種 口味 比較 喜歡 哪一 剛好 順序 真是 還滿巧 而會 回流 不想 點選 剛好 這樣 排列 頭和尾 那個 鮭魚 真是 好吃 下次 再來 覺得 自己 可以 點個 一義 女生 愛吃 時候 不怕 什麼 種類 價格 不會 管太多 女生 愛吃 時候 就是 放縱 心甘情願 出肥油 發信站 踢踢 實業      一篇 文章       編輯  來自       真的 用心 還去 買筆  一個       不及 出餐 連打個 果汁 垃圾桶       紙板 果汁機 上面       推錯        內行       內行       詳細       墨西哥 凱薩包 肉條 雞米花       不太 一樣 東西       而凱薩 蔬菜 則有 萵苣 蘿曼塊       以上 專業 小肯 服務員 小小 解說         樓上 其實 沒差 反正 不管       包葉 皺葉 或蘿蔓 萵苣       仔細       但是 上次  那家 鮭魚 覺得 起來       空虛 味道 不是 很夠 不是 喜歡       喜好 順序 差不多       喜好 順序 完全 相反       利害     ,-1,2279
3,4,4,  流浪    食記 雞腿 鐵蛋 時間        最近 版友 猛力 放送 關於 肯德基 優惠卷 消息 一天 看到 趕緊 衝往 文中 一起 網址 想要 看看 究竟 優惠 項目 沒想到 取得 極慢 慢到 令人 疑難 肯德基 優惠卷 推出 甘願 二次 一樣 無法 讀取 狀態 今天 再度 一次 沒想到 居然 讀取 成功 看見 顯示 網頁 優惠卷 內容 雞腿 單點 特價 只要 真是太 這麼 好康 當然 來給 印下來 打定主意 今晚 不如 肯德基 晚餐 那個 很久沒 雞腿 堡吧 前進 目標 就是 太好了 沒什麼 直接 往櫃 台站 出手 一張 剪下來 單點 雞腿 優惠卷 遞出去 今天 二個 櫃台 服務 人員 男生 接待 一位 先問 什麼 看到 遞出 下來 又問 只有 這樣 我還 說完 還要 打斷 所以 只好 重述 還要 一個 榛果 蛋塔 服務生 應聲 又問 只要 這樣 肯定 語氣 回答 幾個 告訴 總共 服務生 忙於 收錢 最後 找錢 發票 給我 變成 一位 服務生 親手 送到 手上 一切 手序 完成 餐點 其中 一個 服務生 要給 餐盤 多放 一疊 紙巾 餐盤 二份 各自 紙巾 發愣 心想 嘴巴 這麼 寂寥 餐盤 放著 一個 雞腿 一個 小小 紙袋 裝著 榛果 蛋塔 我端 它們 位置 今天 用餐 不算 大約 坐滿 三分之一 桌位 而已 所以 位置 好找 找定 位置 放下 餐盤 外套 洗手間 出來 外面 洗手 空間 洗手檯 前有 一對 高中 情侶 溫柔 地拿著 擦手紙 仔細 擦拭 女友 那雙 剛洗 正濕潤 閃光彈 差點 閃瞎 擦乾 走出 洗手 區後 突然 看到 上次 來時 那個 有趣 小男生 務生 詳見           文尾 看到 發笑 於是 緩步 那個 座位 發現 不妙 閃光 正好 坐在 左前方 座位 用餐 期間 一直 忍不住 地偷 人家 當然 結果 看見 人家 時而 又抱 時而 雙雙 將頭 互相 靠近 知道 是不是 耳邊 直在 清楚 小倆口 究竟 細聲 耳語 什麼 付好 幸福 景象 真的 太閃 這下子 不管 是不是 墨鏡 沒有 就算 墨鏡 恐怕 立即 裂掉 連可魯 陣亡 二個 小隊 真的 不能 一直 注意 人家 這樣 我會 不好意思 發現 人家 但當 享受 晚餐 一個 看來 國小 小女生 突然 走來 小倆口 旁邊 一語不發 戀人 感覺 疑惑 小妮子 到底 什麼 突然 聽見 小女生 口說 幾句話 大約 是說 你們 什麼 看到 說完 還一付 樂得 樣子 開開心心 離去 接著 情侶 面面相覷 女生 突然 笑了起來 笑聲 柔柔 細細 大聲 聽得出 開懷 地笑 令人 感覺 這個 女生 脾氣 修養 應當 錯的 用餐 陸陸續續 好多 顧客 整個 用餐 空間 座位 漸漸 地被 坐滿 知道 一方面 因為 受到 隔壁 閃光彈 閃耀 影響 一方面 因為 享受 美味 關係 雞腿 美味 需要 贅述 反正 就是 好吃 每次 感動 這樣 可能 誇張 真的 這樣 雞腿 生菜 令人滿意 而且 看起來 青脆 鮮嫩 沙拉醬 不少 怕的 今天 來呀 還有 想一 上市 鐵蛋 所以 當然 雞腿 堡前 吃掉 況且 這種 酥皮 東西 不耐放 滋味 外皮 看來 金黃 酥脆 香甜 咬一口 真的 酥啊 鬆脆 咬處 結構 層層 分明 內餡 吃來 芳香 濃郁 柔軟 滑嫩 細密 順口 不會 太甜 咖啡 完全 不苦 香氣 不止 散發 嘴裏 蔓延到 鼻腔 餘韻 迴盪 真是 滋味 雖然 淋在 蛋塔上 榛果 焦糖 吃不出來 什麼 果味 只有 焦糖 甜美 香味 還是 十分 享受 陶醉 這是 一個 人會 蛋塔吶 滿足 女生 愛吃 時候 不怕 什麼 種類 價格 不會 管太多 女生 愛吃 時候 就是 放縱 心甘情願 出肥油 發信站 踢踢 實業     編輯  來自     ,1,1593
4,5,5,     食記 豬排 時間         自從 之後 原本 心目 中是 沒良心 排名 退居 今天 衝著 推出 豬排 重返 嚐鮮 這新 推出 堡類 配套 單點 因為 喜歡 冰紅茶 檸檬 口味 其他 飲料 引不起 興趣 所以 自己 一杯 綜合 果汁 配著 進入 除了 一客 豬排 單點 一個 比司吉 現在 好像 改名 百司吉 因為 很久沒 那就點 一個 有沒有 什麼 改變 只是 不能 當著 服務 人員 自購 飲料 放在 餐盤 一起 比較 方便 而已 免得 人家 不爽 搭配 比司 果醬 草莓 果醬 一包 實在 感興趣 因為 台灣 果醬 得料 不好 實在 比司 吉時 怪怪的 喜歡 草莓 果醬 可能 神經病 餐點 餐盤 自己 喜歡 位置 坐定 試吃 比司 感覺 好像 變小 變薄 了點 樣子  太久 沒吃過 忘記 大小 打開 紙袋 飄來 一陣 比司 進去 奶油味 還滿 香的 再擠 果醬 咬一口 入口 便是 不好 實在 草莓 比司 本身 奶油味 蓋掉 如果 擠太多 還會 太甜 比司 以前 一樣 鬆軟 好吃 餘味 粉味 證實 八百年 自己 試圖 比司 起來 一股 粉味 所以 自己 出來 沒有 因為 比司 小小的 為何 總覺 以前 好像 這麼 感覺 還是 年代久遠 自己 記錯 所以 兩口 豬排 慣例 地先 打開 包裝紙 檢視 一下 內容 有些 什麼 包裝紙 一打 最先 看見 豬排 還滿 一個 麥當勞 特價 縮水 起來 真是太 令人 感動 掀開 漢堡 包看 一下 中間 夾料 如何 這是 一個 內容 簡單 漢堡 裏頭 沒有 茄片 上層 夾有量 生菜 中間 夾有 一片 厚度 令人滿意 圓形 豬排 雖然 漢堡 來得 一點 講來 滿大 一片 令人高興 大小 漢堡 醬則 夾在 下層 黑色 醬汁 令人 感到 疑問 氣味 香濃 漢堡 生菜 鮮脆度 不錯 沒有 脫水 軟葉 或爛 狀態 起來 脆感 豬排 則是 包裹 細小 顆粒 下去 油炸 原本 以為 醬汁 方式 料理 看來 自己 原本 以為 可能 絞肉 壓成 圓型 豬肉 豬肉 一口 出來 缺口 完整 一塊 豬肉 只是 事先 切割成 圓形 而已 因為豬 纖維 鮮明 只有 重度 近視 人才 看不清楚 豬肉 顏色 淡淡的 粉紅色 足以 證明 鮮度 無庸置疑 起來 軟嫩 漢堡 擁有 面積 生菜 多項 優點 整體 起來 不是 滿意 因為 豬肉 原味 完全 過於 香濃 黑胡椒 醬給 蓋住 一點 不到 再者 雖然 豬肉 炸得 程度 恰到好處 口感 軟嫩 乾澀 沒有 咬勁 對於 喜歡 這種 口感 不錯 一個 滿意 整個 漢堡 大口 嘴裏 感覺 黑胡椒 沒有 漢堡 肉質 軟嫩 嘴裏 沒有 存在 只能靠 自己 其中 知道 自己 同時 不過 對於 喜歡 黑胡椒 味道 來說 不錯 一個 漢堡 醬汁 不算 流下來 不算 出來 而且 味道 十分 濃郁 至於 不會  個人 覺得 算是 小辣 過癮 感覺 對於 法吃辣 來說 太辣 來說 可能 要求 雞腿 辣醬 如果 可以 這樣 要求 的話 女生 愛吃 時候 不怕 什麼 種類 價格 不會 管太多 女生 愛吃 時候 就是 放縱 心甘情願 出肥油 發信站 踢踢 實業     編輯  來自             卡拉 雞腿 好像 一直 沒有 附醬       明天  拍張 照給 大家       豬排 堡裡面 還有 洋蔥       還有 雞腿 其實 因為 肉片 經過 醃製       覺得 比司 變小       這將 午餐       剛剛 味道 不錯 豬排 好軟     ,-1,1451
5,6,6,     食記 肯德基 帕瑪森 起司 雞腿 起司 脆米 薯條 時間        網誌        今天下午 胖約 誠品 一起 逛逛 書店 下午 兩點 來時 肚子 午餐 一碗 沙拉 果然 不夠 一直 肯德基 漢堡 脆米 薯條 況且 肯德基 漲價 趁機 在家 已經 吃過 所以 就點 一份 帕瑪森 起司 雞腿 套餐 再加  加點 脆米 薯條 雞腿 可惜 一向 肯德基 雞腿 非常 好感 印象 中是 多汁 今天 這塊 雞腿肉 知道 什麼 不是 非常 就算 還很硬 而且 還滿 喜歡 紅醬 不過 起司 味道 不足 而且 其他 版友 起司 粉多到 出來 還等 幾分鐘 但是 知道 是不是 現做 感覺 覺得  完全 值得 雞腿 平常 水準 的話 很多 薯條 很多 好吃 覺得 不錯 很脆 完全 補足 後來 薯條 會軟 口感 起司 味道 也夠 搭上 脆米 非常 起司 朋友 薯條 之間 反而 變成 雞肋 起司 脆米 薯條 反而 吃不出 味道 不過 還好 因為 大概 還有 半包 左右 起司 全數 光光 所以 還有 半包 薯條 原味 沾著 番茄醬 好吃 發現 肯德基 番茄醬 比小 好吃 難怪 薯條 愛沾 糖醋 發信站 踢踢 實業      轉錄      ,1,486
6,7,7,  翩翩起舞    食記 肯德基 早餐 肉鬆 蛋餅 時間       肯德基 台北 漢口 餐廳 早餐 地址 台北市 漢口 一段  電話   營業時間    圖文 網誌          之前 吃過 一次 肯德基 早餐 感覺 普普 食記 請見          今天 公司 輪到 開門 大早 目前 還有 折價券 優惠 試試看 肯德基 其他 早餐 產品 我選 肉鬆 蛋餅 單點 原價  特價  看到 店員 蛋餅 保溫箱 拿出 來時 心想 怎麼 這麼 一條 辦公室 拿尺 一量 長度  公分 寬約 公分 蛋餅 餅皮 異國 輕鬆 一樣 內餡 肉鬆 生菜 少許 美乃滋 肉鬆 生菜 份量 肉鬆 口味 一般 沒有 香氣 生菜 黃黃 乾乾的 品質 很差 煎成 長條狀 入口 感覺 單薄 仔細 舌頭 搜尋 才能 察覺到 存在 好像 只用 半顆 蛋黃 部分 很少 整體 下來 覺得 體積 大於 餡料 體積 一口 覺得 餅皮 餡料 真的 存在 這個 肉鬆 蛋餅 份量 真的 不大    肚子 一直  價格 來看 其他 地方 還有 更多更好 早餐 選擇     小小 世界 網誌       相簿       發信站 踢踢 實業       可以 兩個 蛋餅了       這邊 一個 蛋餅      ,0,411
7,8,8,      食記 肯德基 雞腿 時間        肯德基 雞腿 圖文 網誌          肯德基 算是 喜愛 速食店 第二名 觀望 新出 帕瑪森 起司 雞腿 單點  套餐  很久 大家 評價 兩極 今天 有空 看吧 平常 肯德基 桃園縣 一家 覺得 它家 品質 不錯 每次 都還 挺好吃           今天天氣 好燒 紅綠燈 褲子 先來 喝杯 百事 解解渴   熱死 它家 飲料 其他 不愛 所以 每次 都點 可樂            薯條 我還 沒吃過 摩斯 之前 最愛 不會 灑太多 鹽巴 冷掉 口感 也還 可以 接受           雞腿 外觀 寫個 大大的  尺寸 一般 卡拉 雞腿 堡來 一點           雞肉 看起來 有點 番茄醬 好像 這樣 出來 但是 還是 親自 看看 比較           漢堡 打開 來看 發現 原來 醬汁 包皮 時候 還是 熱呼呼 一打 開來 淡淡的 起司           雞肉 一般 卡拉 雞腿 還要 瘦長 一點 開來 醬汁 看起來 不賴           一口 下去 挺好吃 雞肉 不像 外表 看起來 那麼 乾澀 反而 很多 超嫩 外皮 不會 很油 還有 番茄醬 味道 濃郁 很濃 香草 番茄 肉醬 而言 還挺 新奇 想像中 好吃 很多 原本 還怕 這個 地雷 原來 起司 起司 起司 還好 還頗香 就是 對於 肯德基 產品 一直 抱持 期待 受傷害 心理 這個 產品  表現 中規中矩 發信站 踢踢 實業      轉錄      ,1,516
8,9,9,     食記 肯德基 焦糖 鐵蛋 時間        網誌 圖文      店名 肯德基 網址      性質 連鎖 速食 昨天 看到  大家 討論 肯德基 蛋塔 實說 我連 廣告 都還沒 看見 期待 怎樣 蛋塔 今天 一下 五點 拿到 熱騰騰 一盒 下午茶 晚一點 晚餐 點心 太早 一點 不過 熟悉 蛋塔 香味 陣陣 傳來 迫不及待 嚐嚐 這次 怎樣 味道      外盒 換新裝      呼呼 香噴噴 蛋塔     蛋塔 外形 依舊 金黃 酥脆 感覺 焦糖 好像 多了些           盡力 刀子 老是 不好     焦糖 快要 流下來 心得 這次 焦糖 鐵蛋 蛋塔上 焦糖 似乎 一些 焦糖 味道 香甜 塔內 味道 香濃 帶有 一點 苦味 感覺 以前 焦糖 瑪奇朵 還要 一點點 但是 因為 喝咖啡 所以 沒有 辦法 仔細 嘗出 不同 地方 只是 個人 覺得 肯德基 似乎 保守 老道 實說 欣賞 之前 創新 越莓 蛋塔     畢竟 之前 蛋塔 型態 相同 好不好 其次 創新 值得 讚賞 這次 焦糖 鐵蛋 過去 蛋塔 不同 地方 只有 味道 改變 還是 好吃 只是 沒有 驚豔 感覺      沒什麼 蛋塔 口味 標示 建議 肯德基 應該 票選 幾種 口味 蛋塔 長期 販售 不然 每次 只有 原味 口味 可選 蛋塔 口味 標示 其實 沒什麼 存在 意義 可言 是吧 發信站 踢踢 實業      適合 東西 放進來 創新 賣給       承受 第二次 蔓悅莓給 衝擊       樓上 感覺 蔓越莓 就是 原味 果醬     ,-1,535
9,10,10,     食記 肯德基 華麗 廣島 輕鬆 時間        網誌 圖文          肯德基 口味 異國 輕鬆 推出 一段 時日 而言 仍屬 新鮮 機會 肯德基 當然 要來 嘗嘗 輕鬆 一份  價格 不算 模樣 略顯 迷你 懷念 年 飽滿 大份 雞肉 雖然 價格 起來 相對 過癮 打開 包裝紙 來看 華麗 廣島 輕鬆 真面目 看起來 沒有 很多 一點 符合 華麗 稱號 只是 物價 狂飆 現在 食物 若非 漲價 縮水 好像 已成 定律 裡頭 最大 特色 海苔 不過 之後 發現 輕鬆 真的 適合 兩樣 食材 發覺 海苔 裡頭 遇熱 逐漸 軟掉 不難想像 外帶 情況 更糟 其實 起來 味道 不錯 尤其 裡頭 適量 美奶 滋將 整體 味道 很棒 調和 只是 這樣 滋味 廣島 燒呀 名字 食物 本身 完全 扯不上 邊的 感覺 命名 著實 想不到 相近 菜色 發信站 踢踢 實業     編輯  來自       輕鬆 真的 輕鬆 一點 感覺 沒有       輕鬆        真的 廣島 一點 關係 沒有       覺得 好吃       起來 章魚 小丸子 味道     ,1,414
