,Unnamed: 0,doc_id,text,score1_int,num
0,1,1,  爛漫 爛漫    新聞 麥當勞 員工 廚房 時間        麥當勞 北縣 土城 金城 店上 標榜 提供  小時 得來 服務 不過 先生 凌晨 前往 發現 得來 車道 封閉 只得 下車 購餐 餐廳 發現 員工 抱狗 走出 廚房 直呼 店家 瞎搞 麥當勞 公關部 表示 避免 夜間 吵到 鄰居 取消 深夜 得來 服務 更改 公告 並已懲 帶狗 餐廳 員工 北縣 衛生局 表示 帶狗 靠近 廚房 污染 食材 疑慮 麥當勞 須限 改善 投訴 台北 先生 表示  凌晨 左右 下班 返家 為求 方便 選擇 麥當勞 土城 金城 得來 速購餐 沒想到  小時 服務 土城 金城 封閉 得來 車道 只好 下車 走入 餐廳 櫃檯 購餐 點餐 發現 名著 便服 抱著 一條 白色 長毛 悠哉 廚房 出來 傻眼 鄰居 抗議 更改 時間 先生 提供 得來 已經 開心 人大 進出 廚房 無法 接受 麥當勞 不是 標榜 服務 衛生 沒人管 誇張 記者 察看 麥當勞 網站 土城 金城 店有 提供  小時 得來 服務 暫停 服務 公告 店家 察看 店門口 公告 禁止 攜帶 寵物 進入 麥當勞 公關部 表示 察看 店內 監視 畫面 確實 員工 當班 時間 抱著 進入 餐廳 並未 進入 廚房 進入 廚房 後方 休息室 之後 出來 違反 內部 規定 開除 這名員 並會 先生 致歉 另外 金城 店未 提供  小時 得來 服務 鄰居 抗議 得來 速點 餐用 麥克風 夜間 顯得 吵雜 因此 更改 服務 時間 現場 公告 並已 更新 網站 資料 台北 衛生局 藥物 食品 管理科 股長 邱惠敏 表示 並無 規定 寵物 不得 進入 餐廳 既然 麥當勞 限制 寵物 進入 自主 管理 就要 落實 人員 抱狗 無論是 經過 廚房 或是 逗留 污染 食材 疑慮 違反 食品 良好 衛生 規範 要求 限期 改善 改善 最高 可罰  元罰 民眾 衛生局 檢舉              到底 可不可以 帶狗 進去 危險 裡面 只有       發信站 踢踢 實業      因為員休 內場      這家 分店 怎麼 好像 常看到       炸油       冰塊 合格      真強 那麼 分店 一直 新聞 簡單 安心 滿分       炸油      懶得 下去 可能 真的 滿分      覺得 有點 誇張 怎麼 可以 廚房      其實 覺得  食材 恐怖 一百倍      正宗      不是 摩斯 熱狗      情報 麥當勞 推出 熱狗      真是 離譜      土城      真的 覺得 這家 經理 可以 準備 打包 出事      土城 中央 金城      去年 好像 管理 全部 走人      油品 風波 好像 某家店 經理 主動 請辭      誇張      不能 寵物 餐廳 門口 標示      其實 食材      新鮮 還是 現宰      大夜班 辛苦 進補 一下 合理      總覺 有人 這家      總是 有人 石頭砸 自己    ,-1,961
1,2,2,      麥當勞 苛待 打工族 夜班 日領   時間        麥當勞 苛待 打工族 取消 餐點 夜班 日領  元變  玉樹 南燕 台北 報導 基本工資 本月 一日 調漲 青年 勞動 九五 聯盟 再度 抨擊 麥當勞 五大 招數 違法 剝削 打工族 形同 變相 減薪 聯盟 呼籲 麥當勞 打工族 出面 籌組 工會 要求 麥當勞 立刻 恢復 員工福利 否則 發動 一波 抗爭 夜班 薪水 竟反 縮水 聯盟 發言人 柏謙指 麥當勞公司 五大 招數 違法 剝削 打工族 包括 取消 員工 免費餐 休息時間 每四 小時 十五分鐘 年資 制度 每半年 調薪 一次 縮減 大夜班 薪資 縮短 大夜班 雙倍 薪資 時間 小時 麥當勞 打工 學生 以往 大夜 時薪 八十 日領 一千五百元 現在 時薪 十五元 一千 八十 麥當勞 從事 打烊 清潔 小姐 投訴 指出 小時 所得 因此 減少 一百一十 聯盟 比較 地區 麥當勞 時薪 換購 麥克 漢堡 結果 台灣 最低 一點 七個 聯盟 律師 邱羽 凡指 僱主 片面 更改 休息時間 年資 違反 勞基法 柏謙 要求 勞委 麥當勞 進行 勞動 檢查 並開罰 勞委會 勞動 條件 處處長 藍福良 檢舉 加強 勞檢 麥當勞 打工族 勞動 契約 違法  針對 麥當勞 打工族 可否 工會 勞委會 科長 王厚偉 三十 人以 具名 申請 即可 麥當勞 回應 時薪 全面 調整 十五元 二百元 符合 法令 門檻 每次 上班 免費 一份 套餐 調整 五折 不限 份數 項目 對內 溝通 實施 同為 速食 業的 肯德基 摩斯 漢堡 昨則 表示 意見 強調 一切 合法 麥當勞 打工族  取消 員工 免費 餐點 改為 高於 成本價 半價 購買  取消 給薪 休息時間 工作 小時 休息  分鐘  取消 年資 制度 年資 高者 領取 一般 新員 工時  縮減 大夜班 薪資 原為 日班   縮短 薪資 時間 大夜班 時段    縮減成   申訴 管道 勞委會  青年 勞動 九五 聯盟  資料 來源 青年 勞動 九五 聯盟 蘋果 資料室 網址      發信站 踢踢 實業     編輯  來自      編輯  來自      編輯  來自       感覺 心態       現在 吉野家 頻率 高過 叔叔 好幾倍      ,-1,735
2,3,3,      情報 麥當勞  舒食 主張 一品 時間        資料 來源 麥當勞    字體 放大 正常 縮小 台灣 麥當勞 基於 創新 價值 理念 台灣 亞洲 產品開發 團隊 歷經 長達 一年 研發 測試 即將 全面 上市 均衡 選擇 一品 首次 台灣 之光 王建民 攜手 合作 拍攝 一系列 電視廣告 記者會 中將 搶先 曝光 誠摯 邀請 蒞臨 一同 分享 麥當勞 用心 研發 創新 美味 舒食 主張 麥當勞 一品 美味 饗宴 時間    星期四 下午   地點 台北 承德 麥當勞 餐廳 臺北市 承德路 七段  新聞 網址     有人 的話 分享 發信站 踢踢 實業      日本 已經 上市         暑假 台場 小麥 吃過     ,1,237
3,4,4,  歸蝶姬    新聞 麥當勞 漲價 麥克 套餐  時間        麥當勞 漲價 麥克 套餐  記者 林茂仁 台北 報導 速食 龍頭 麥當勞 將自下 日起 調漲 主要 套餐 單品 價格 套餐 漲幅 最高  單品則 薯條 調漲  最大 這是 麥當勞 七年 首度 大規模 調漲 商品 售價 預期 將引 速食 其他 餐飲業 跟進 調漲 其中 漢堡 王已 開始 研究 漲價 最佳時機 麥當勞   年間 有三 四次 類似 此次 規模 全面性 漲價 最近 一次  當時 超值 全餐 一次 調漲  漲幅  不同 七年 正是 台灣 經濟 成長率 大幅度 攀升 時候 這次 主要 套餐 漲幅   不等 尤其 整體 經濟 情勢 不佳 內需 停滯 情況 顯示 麥當勞 抵受 不住 成本 上漲 壓力 台灣 麥當勞 公關部 經理 李賜蘭 表示 因應 國際 食品 物料 價格 創新 將自 日起 商品 售價 其中 至少 八款 主要 套餐 全面 調漲 部分 薯條 全面 調漲 使得 薯條  元漲  漲價  另一方面 香魚 及麥 香雞 超值 餐則  元變  同時 購買 超值 全餐 換購 附餐的 升級 原來  元調 降到 另外 麥當勞 運用 尾數 計價法 長銷 商品 麥克 套餐  元漲  漲幅  一項 熱賣 商品 六塊 麥克 套餐  元漲  漲幅  使得 套餐 售價 尾數 全部 變成 個位數 似乎 變小 價格 經變 麥當勞 昨日 稍晚 發表 調整 商品價格 說明 但是 聲明 強調 成本 上漲 調降 商品 部分 套餐 單品 漲價 部分 物料 衝擊 全面性 亞太地區 已有 香港 麥當勞 率先 調漲 台灣 經濟 環境 不佳 家庭 可支配 所得 降低 麥當勞 漲價 台灣 消費者 衝擊 意義 不小 事實上 不僅 物料 價格上漲 造成 麥當勞 食材 成本 提高 原油價格 調漲 影響 麥當勞 成本 了解 麥當勞 目前 超過 一半 食材 海外 進口 原油價格 創新 運輸 去年 每季 調漲 一次 今年以來 則是 每月 調漲 麥當勞 大感 吃不消 由於 目前 正值 暑假 傳統 銷售 旺季 麥當勞 調漲 套餐 價格 動作 引起 同業 關注 速食 業已 考慮 調價 時機 麥當勞 之前 摩斯 漢堡 速食店 去年 招牌 摩斯 漢堡 摩斯 吉士 漢堡 同步 調高    經濟日報    發信站 踢踢 實業    ,0,801
4,5,5,  爆肝    轉錄 原田 魔法 日本 麥當勞 變出  商機 時間        剛剛 看到 雅虎 新聞            日本 同樣 麥克 漢堡 東京 購買 山形縣 鄉下 購買 價格 大不相同 日本 當勞 社長 原田 泳幸 仔細 研究 不同 地域 不同 顧客 價格 接受程度 訂定 不同 售價 景氣 時候 神奇 麥當勞 營收 增加  日幣 面對 內需 產業 不景氣 難道 只能 低頭 沉淪 日本 麥當勞 社長 原田 泳幸 可不 這麼 認輸 原田 出身  工程師 曾經 重建 日本 蘋果電腦 進入 麥當勞 一年  年度 轉虧 為盈 此後 連續 三年 營收 持續 成長  年度 上半年 總營 收達  億圓 日圓 以下 約合 新台幣  億元 較前 年度 成長    短短 三年 日本 麥當勞 營收 增加  億圓 超過 吉野家 多倫 咖啡 摩斯 漢堡 大型 外食 連鎖店 營收 這被 形容 原田 魔法 地點 不同 商品價格 不同 原田 魔法 其實 來自 獨立思考 找尋 創新 之道 盲從 潮流 人云亦云 譬如  日本 景氣 放緩 不僅 沒有 因為 不景氣 削價 競爭 反而 逆勢 漲價 無論 經濟指標 收入 房租 生活水準 因為 地域 特性 不同 因此 全國 都採 同一 價格 銷售 十分 奇怪 若想 減少 顧客 人數 前提 利潤 最大化 最佳 定價 應該 地域 異才 原田 日本 所有 外食 連鎖店 無論 品牌 一家 分店 只要 菜單 相同 產品價格 理所當然 相同 原田 偏偏 顛覆 常識 採取 創新 策略 原田 針對 地域 不同 同一 產品 訂定 不同 價格 東京 大阪 京都 重要 都市  分店 大幅提高 售價 宮城 福島 山形 認為是 鄉下 地區 其中  家店 降低 售價 譬如 原本 日本  圓的 麥克 套餐 漲價 區域 變成  大漲  一成 降價 區域 變成  便宜  跌價  原田 表示 除了 分析 不同 地區 消費者 物價 縣民 所得 運輸成本 人事 成本 項目 率外 我們 一年 時間 分析 過去 五年 幾十億 收據 徹底 調查 消費者 動向 簡單 麥當勞 漲價 與否 關鍵 在於 成本 而是 地區 顧客 價格 敏感度 價格 接受度 數據 採取 需求 導向 訂價 原田 針對 地區 顧客 所能 接受 價格 進行 調查 經由 日本 麥當勞 總部 主導 據此 決定 各地 售價 原田 強調 如果 真的 成本 完全 轉嫁到 價格  東京都 直接 成本 上漲幅度 反映 產品 價格 顧客 將會離 我們 都會區 麥當勞 打工族 時薪 郊區 高出  店租 方面 根據  公告地價 東京都 商業 地帶 上漲  郊區 平均  如果 只以 麥當勞 自己 需要 訂定 價格 失敗 勢必 針對 顧客 情感 利潤 平衡 徹底 做好 研究 做出 判斷 才能 地域 訂價 順利 推行 原田 這套 制度  導入 所有 日本 麥當勞 分店 總營收 成長  顧客 人數 成長  日本 麥當勞 這樣 結果 基礎 加快 計畫 實際 運作 分成 三個 階段 漲價 結果 全國  分店 九成 變成 漲價 店面 對於 地區 差別 訂價 一位 麥當勞 店長 表示 沒什麼 驚訝 過去 麥當勞 利潤 結構 原本 就是 顧客 消費 單價 地方 支援 顧客 消費 單價 會店 依地 區別 訂定 不同 價格 道理 每年  億人次 光顧 日本 麥當勞 從此 進入 依據 時價 波動 時代 倘若 此一地 區的 差別 訂價 策略 成功 勢必 掀起 其他 連鎖 外食業 跟進 風潮 發信站 踢踢 實業    ,1,1218
5,6,6,  夢想 起飛 季節    新聞 麥當勞   提高 得來 點餐 效率 時間         蘋果日報 胡健蘭 綜合 外電報導 開車 麥當勞 負責 得來 點餐 人員 不在 麥克風 後面 好幾公里 提高 得來 點餐 效率 麥當勞 部分 餐廳 得來 服務 集中 電話 客服 中心   客服 人員 負責 點餐 用餐 高峰 時間 每名 客服 人員 小時 必須 完成  點餐 任務 無健 保制 時薪  客服 中心 每名 工作人員 配有 副耳機 電腦 控制 接收 來自 不同 餐廳 定單 消費者 點完餐 等待時間 客服 人員 可以 立刻 接收 餐廳 定單 完全 不會 浪費時間 而且 可以 減少 人力 成本 麥當勞 客服 中心 工作 員工 平均 時薪  美元  他們 沒有 健康 保險 工作 福利 不過 不用 制服 美國   麥當勞 點餐 客服 中心 試驗  完成  萬件 點餐 服務 很多 消費者 根本 沒有 發現自己 點餐 得來 聲音 來自 老遠 客服 中心 負責管理 客服 中心 安頓   表示 節省 幾秒 點餐 時間 代表 能接 多點 定單 可能 多賺 很多 這種 有效率 工作 方式 可以 累積 業績 節省 人力 中央 客服 節約 人力 客服 中心 好並 容易 由於 消費者 可能 距離 很遠 餐廳 點餐 如果 氣候 不佳 可能 影響 聲音 品質 導致 點餐 內容 清楚 而且 客服 中心 管理 嚴格 公司 可以 電腦 直接 觀察 客服 人員 工作效率 看看 每個 平均 要花 多久 完成 一件 點餐 服務 藉此 考驗 客服 人員 工作 績效 是否 達到 標準 即使 客服 中心 裡面 服務 人員 還是 相當 熱心 介紹 推銷 餐點 服務 品質 非常 要求 公司 可以 客服 人員 是否 有效 推銷 餐點 判斷 工作 認真 程度 發信站 踢踢 實業      那麼 多錢 還沒給 健保 真是 萬惡 深淵 麥當       當啊       世界 裡面     ,1,638
6,7,7,       新聞 黛妃 設計師 打造 麥當勞 制服 時間        綜合 外電報導 今夏 英國 麥當勞 耳目一新 深受 黛妃 喜愛 英國 設計 師歐菲德 花費 麥當勞 設計 時尚 制服 女經理 剪裁 俐落 貼身 襯衫 魚尾 經理 則將 穿著 西裝 白襯衫 帥氣  置裝 擺脫 廉價 餐廳 形象 英國 麥當勞 斥資  億元 台幣 千名 員工 更換 制服 廚房 櫃檯 員工 將換 咖啡色  棒球帽 經理 將穿 帥氣 西裝 女經理 制服 除了 頸間 印有 大大 金色 商標 絲巾 根本 看不出 麥當勞 制服 歐菲德   麥當勞 設計 制服 挑戰 適合 各種 身高 族裔 制服 制服 可用 洗衣機 清洗 還得 注意 工作 細節 衣袖 不能 太長 否則 容易 沾到 番茄醬 多數 麥當勞 員工 認為 制服 有助 提升 他們 自信 麥當 工作  穿過 制服 經理 貝莉說 穿過 最具 時尚 制服 質料 和專 形象 大勝 過往 少數 顧客 冷眼  大學生 喬治 只要 得到 食物 不管 他們 什麼      發信站 踢踢 實業      只要 得到 食物 不管 他們 什麼       哪會 看起來 賞心悅目 東西 比較 好吃       嘴裡 餃子 心理 嫂子     ,-1,429
7,8,8,  陽光    新聞 美牛 開放 絞肉 闖關 麥當勞 缺席 時間                 帶骨 美牛 擴大開放 擔心 內臟 絞肉 混入 闖關 地方 政府 緊急 自保 民心 台北 認證 標章 下週 展開 稽查 台北 不吃 不買 不賣 找來 業者 簽拒 標章 偏偏 美國 品牌 麥當勞 好市 都以 參加 理由 台北 縣府 鴿子 台北 縣長 周錫瑋 不吃 分貝 自保 台北 縣長 周錫瑋 帶領 餐飲 賣場 業者 防堵 美牛 內臟 絞肉 簽拒 牛標章 不過 還有 有人 給面子 麥當勞 參加 大潤發 答應 要來 放鴿子 戲劇性 的是 漢堡 記者會 之前 沒空 最後 還是 漢堡 王公 關趙敏 大家 美國 牛肉 安全 疑慮 沒有 消失 之前 我們 現在 還是 使用 澳洲 牛肉 這是 我們 既定政策 沒有 說不來 參加 客人 跑掉 業者 行動 配合 政策 其實 台北市 發起 認證 標章 各縣 自保 機制 同步 啟動 桃園縣 高雄市 餐廳 菜單 來源 賣場 設美牛 專區 台北 法制 局長 坤榮 調查 美牛 標示 來源 質疑 我們 全部 下架 銷毀 不得 銷售 如果 違反 命令 處罰  高雄縣 嘉義縣 東縣 規定 中小 營養 午餐 不買 美牛 內臟 絞肉 認證 標章 防堵 台北 消保 官秀 鐵腕 如果 業者 標示 不實 最高 重罰  連續 罰到 改善 為止 帶骨 美牛 擴大開放 中央 執意 地方 政府 只能 自保 民心 大家 可以 期待 美國 大叔 好吃 牛肉 漢堡 回來 來了 發信站 踢踢 實業      美國  不是 這麼 簡單      漢堡 王好       之前 麥當勞 油品 事件 是從 台北 開始 當然 不爽 台北      好市 牛肉 大宗 多半會      漢堡 王好      之後 漲價 就慘 一定 買氣      感覺 政治 牛肉      速食店 美國 漢堡 不吃 尤其 麥當勞      麥當勞 官網 澳洲 記者 挑撥      美資 速食 好像 科科      好市 意外      美資 美國      還好 這也 代表 麥當勞 使用 美國 牛肉      只是 美資 企業 不好意思 拉拉 出來 表態      麥當勞 澳洲      澳洲 真的 澳洲 不放過 不吃      麥當勞 目前 澳洲 排除 以後 可能 會用 美國      而且 麥當勞 高調 態度 哪天 偷用 期待 他會 公告      麥當勞 不能      還是 漢堡 漢堡 好吃 麥當 當乾到 不行 遜掉    ,-1,819
8,9,9,  我命 不由    新聞 麥當勞 星巴克 紙巾 螢光 時間        麥當勞 星巴克 紙巾 螢光 記者 林怡秀 台北 報導  著名 速食 咖啡 連鎖店 使用 餐巾紙 全都 含有 有害 人體 螢光 其中 麥當勞 星巴克 餐巾紙 遷移性 螢光 物質 除了 可能 導致 皮膚過敏 餐巾紙 含毒 致癌物質 長期 使用 可能 致癌 根據 國家標準 餐巾紙 不能 遷移性 螢光 物質 消基會 要求 麥當勞 星巴克 立即 換掉 餐巾紙 民眾 習慣 餐巾紙 打包 食物 擦拭 但此 動作 足以 食入 螢光 甚至 致癌 會以 波長   紫外線 照射  餐巾紙 發現 以下  速食 咖啡 連鎖店 樣本 含有 螢光 物質  王加 王非館 咖啡 西雅圖 極品 咖啡 咖啡 星巴克 咖啡 必勝客 吉野家 餐廳 波里 披薩 炸雞 頂呱呱 太太 新光 三越 前店 美食街 麥當勞  全家  便利店 麥當勞 星巴克 巾紙 遷移性 螢光 物質 消基會 日用品 委員會 召集人 吳家 表示 使用 遷移性 螢光 物質 紙餐巾 皮膚 螢光 物質 經由 遷移 造成 皮膚過敏 餐巾紙 只要 含有 苯環 毒性 致癌物質 眾又 碰巧 餐巾紙 食物 食入 螢光 物質 體內 可能 細胞 發生 突變 癌細胞 可能 不斷 增生 消費者 不可 不慎 建議 民眾 絕對 不要 遷移性 螢光 物質 餐巾紙 若真 使用 趕快 洗手 若拿餐 巾紙 鼻涕 馬上 用水 乾淨 廠商 致力 生產 螢光 餐巾紙 衛生署 更應 儘速 制訂 商品 螢光 衛生 使用 標準 消基會 秘書長 游開雄 表示 網路上 盛傳 星巴克 餐巾紙 堪稱 新一代 吸油 聖品 廠商 餐巾紙 傳成 這樣 容易 讓民眾 大量 使用 尤其 民眾常 漢堡 薯條 蛋糕 食品 直接 餐巾紙 回家 尤其 危險    聯合晚報         新世紀 飲食 收看        新世紀 飲食 影片 介紹             追星 約翰             冰淇淋 王國 創造 健康 地球      人人 溫飽 人人 健康     發信站 踢踢 實業      看到 這個 整個 驚嚇 因為 我會 紙巾 薯條     所以 每根 薯條 螢光      可以 薯條 演唱會 關燈 氣氛     如果 不說 我們 什麼 知道 說了 開始 擔心     懷疑 新聞 以上 兩個 地方 真的 不敢     眾有 多少 至少 不會 理會 這則 新聞 可能 討厭     消基會 比起 消保會 來說 財團法人 態度 真是     不想 領教 還是 感謝  題供 這則 新聞   ,-1,862
9,10,10,  超過    新聞 上市 麥當勞 培根 系列 漢堡 時間        上市 麥當勞 培根 系列 漢堡 喜歡 培根 麥當勞     推出 田園 培根 雙牛堡 朝陽 培根 蛋培果 培根 吉士 培根 口味 商品 除了 朝陽 培根 培果 上午  點半前 供應 其他  點半 開始 販售 其中 田園 培根 雙牛堡 還可 牛肉 培根 雙重 口感 提供 份量 選擇 不過 販售 時間 只到   想要 嘗鮮 可得 把握 這段 時間 圖片     說明 田園 培根 雙牛堡 單點  套餐  麥當勞       蘋果日報     生活 娛樂 生活 娛樂 心情  台灣 遊園  台灣 台北  北縣 沒事 沒事 發信站 踢踢 實業      寧願 便當 麥當當 太貴 吃不飽      新聞稿      不是 機密       麥克 培根      基本上      不過 一樣 酸黃瓜 變大 黃瓜      一樣      大麥 包多劃 兩刀 而已       培根 牛肉 不如 漢堡      比較 照燒 豬肉 敲碗      問個  培根 牛肉 還是      豬肉      田園 培根 雙牛堡 就是 兩個 牛肉 一個 培根      培根 牛肉 不如 漢堡 燒烤 培根 好吃       今天 一個 覺得 好吃      好貴      培根 吉士      上次 一口 因為 公文      所以 他們 沒有 試做      車子 輾過 麥克       培根 吉士      這個 價錢 還會  高價 路線      關於 黃瓜 個人 覺得 很脆 好吃    ,-1,495
