,Unnamed: 0,doc_id,text,score1_int,num
0,1,1,  一直 這樣 幸福    新聞 摩斯 漢堡 明年 申請 掛牌 時間        摩斯 漢堡 明年 申請 掛牌 經濟日報 記者 宋健生 報導     摩斯 漢堡  中日 天地  購物中心 開出 全台  分店 代理 總經 理黃 尚仁 表示 摩斯 漢堡 明年 達到  分店 目標 並訂 年底 申請 股票 上市 明年 創業  摩斯 漢堡 資本額 億元 配合 股票 公開 發行 預計 今年底 辦理 現金 資至 億元 登錄 興櫃 摩斯 漢堡 去年 營收  億餘元 每股 稅後 純益 東元 集團 旗下 獲利 最佳 公司 今年 景氣 復甦 摩斯 漢堡 加速 展店 腳步 預計 年底 全台 分店 數將 達到  全年 營收 目標  億元 年增率  每股 稅後 純益 目前 摩斯 漢堡 國內 第二 連鎖 速食 品牌 店數 僅次於 麥當勞 民國  年次 尚仁 東元 集團 會長 茂雄 次子 投入 餐飲業 已有 六年 時間 歷任 漢堡 協理 執行 副總經理 今年初 摩斯 漢堡 原任 總經理 朝慶 轉任  總經理 尚仁 提前 接班 代理 總經理 迄今    經濟日報         發信站 踢踢 實業      轉錄        好酷      所以      知道 麥當勞 營收 多少      原來 轉任       賣掉 手中       以後 跟麥 當當 一樣 可以 加盟      覺得 摩斯 近一年來 很大 危機 新品 水準 以前 很多      服務 品質 有些 下降      應該 不會 這支      東元 底下  賺錢 東元 這麼 慘了    ,1,482
1,2,2,      新聞 摩斯 漢堡 開賣 有機 生鮮 時間        蘋果日報 台北 報導 速食 連鎖店 不僅 拼展 店數 銷售策略 愈來愈 多元 近期 摩斯 漢堡 農委會 輔導 多家 有機 食材 供應商 合作 除了 使用 餐點 打算 這些 食材 直接 門市 銷售 包括 有機 蕃茄 萵苣 高麗菜 雞蛋 台灣 租金 高漲 人事 成本高 速食 連鎖店 面臨 成本 墊高 利潤 變薄  因此 速食 大廠 參考 國際 市場 經驗 銷售 模式 加入 創新 想法  打烊 漢堡 市場 老三 摩斯 漢堡 目前 店數 一百二十 三家 估計 年底 前展 一百四十 執行 副總 朝慶 表示 上樂活 風潮 近期 摩斯 將在 大台北 地區 十幾家 舉行 早市 市場 消費者 餐點 多種 安心 食材 包括 雞蛋 蕃茄 萵苣 高麗菜 有機 直接 門市 販售 未來 考慮 長期 經營 至於 店數 三百多 麥當勞 目前 一半 店數 開始 二十四 小時 經營 成效 不錯 平均 業績 增加 一成 左右 因此 摩斯 考慮 跟進 近期 二十家 鄰近 工廠 鬧區 分店 二十 小時 打烊 發信站 踢踢 實業      摩斯 那種 鮮綠 早就       這篇 報導 摩斯 材料 直接     ,1,420
2,3,3,     新聞 摩斯 衝刺  年營 收估  時間        摩斯 衝刺  年營 收估  台北 報導 東元  旗下 摩斯 漢堡 加速 展店 總店 急起直追 老二 肯德基 目前 店數  年底  肯德基 店數 相當 同時 打算 跨足開 高級 餐廳 東元 日方 合資 成立 北京 摩斯 預估 明年初 中國 展店 日前 東元 集團 董事長 茂雄 摩斯 漢堡 去年 打消 所有 虧損 連鎖 餐廳 雅樂 轉虧 為盈 摩斯 漢堡 全台  分店 去年 營收  億元 成長  今年 業績 目標  億元 年底 分店 數可 達到  摩斯 執行 副總經理 朝慶 摩斯 漢堡 預計 年內 分店 成長   目標 應可 達成 除了 既有 店型 現在 積極 日本 爭取 新店 就是 摩斯  屬於 高級 漢堡 餐廳 形式 目前 速食 類型 不同 機會 明年初 開店 明年 搶進 北京 市場 東元 日方 摩斯 開始 陸續 擴大 海外 合作 去年底 香港 展店 當地 反應 相當 不錯 精緻 速食 漢堡 殺出重圍 預計 站將 設在 北京 朝慶 雙方 最後 觀察期 等待 牌照 下來 預估 明年初 即可 中國 展店 摩斯 此番 展店 來勢洶洶 店數 幾乎 老二 肯德基 肯德基 表示 今年 展店  度並 不太快 不過 肯德基 認為 展店 必須 挑有 成長 潛力 大型 特殊 店型 商品 深度 著墨 維持 業績 穩定 至於 麥當勞 現在 數則 超過  找尋 多元 經營 管道 包括 咖啡店 數百家  小時 還有 服務 以此 擴大 商機  蘋果日報 發信站 踢踢 實業      可以 一下 老大 老三 或是 哪查       文中 不是 老大  老二  老三       老大 就是 麥當勞     ,1,576
3,4,4,       新聞 摩斯 擊敗 肯德基 速食 二哥 時間       摩斯 擊敗 肯德基 速食 二哥 今年 逆勢 再開  營收 估增    蘋果日報 懶得                      放大 圖片 摩斯 漢堡 店數 已經 超過 肯德基 今年 計劃 持續 展店  一舉 突破  家店 莊宗達 圖片 台北 報導 原本 速食 市場 老三 摩斯 漢堡  年底 店數 達到  首度 超越 肯德基 成為 市場 老二 摩斯 表示 今年 再開  家店 估計 業績  億元 成長  獲利 去年 成長 麥當勞 今年 也將 擴大 法人 加盟 估店 數再 增加  持續 成長 據市 結果顯示 往年 台灣 外食 市場 維持  成長 去年 首度 出現 停滯 甚至 成長 路邊攤 連鎖 品牌 餐飲 去年 首度 出現 成長 估計 路邊攤 市場 大約 咖啡店 出現 下滑 警訊 整體 速食 業則 逆勢 成長 顯示 平價 超值 餐點 不景氣 環境 受歡迎  年底 摩斯 漢堡 數首次 超越 肯德基 達到  家店 摩斯 漢堡 總經理 朝慶 去年 一共  家店 營業額 超過  億元 年增率 扣除 開店 既有 年增率 估計 今年 還要 再開  家店 放大 圖片 積極 搶攻 中南部 市場 摩斯 漢堡 如此 逆勢 成長 就是 因為 速食 產品 堅持 現作 因而 穩固 地位 當店數 達到 一定 規模 獲利 隨之 提高 據悉 摩斯 去年 獲利 億元 創下 新高 今年 可望 持續 摩斯 漢堡 滿足 客人 點餐 不要 太久 今年 開始 設置   可以 電話 定餐 節省 消費者 時間 摩斯 漢堡 過去 中南部 展店 朝慶 表示 今年 考慮 擴大 中南部 市場 尤其 中南部 因為 地方 目前 高雄 開出 得來 速店 今年 房租 比較 降價 空間 算是 展店 好時機 至於 肯德基 去年 僅開 新店 主因 肯德基 大店 居多 因此 地點 不易 肯德 主管 未來 若有 適當 地點 持續 展店 推出 早餐 以來 增加 不少 業績 持續 針對 早餐 時段 擴大 行銷 麥當勞 台灣店 數約  站穩 龍頭 地位 今年 打算 開放 法人 加盟 主要 原因 地點 難尋 麥當勞 中東 美國 亞洲 開放 法人 加盟 麥當勞 開放 法人 加盟 麥當勞 表示 台灣則將 從今 開始 所謂 法人 包括 公司 學校 軍隊 其他 社團 法人 身分 團體 自備 土地 或者 建物 即可 期望 開出  家店 麥當勞 全球 營收 表現 來看  美國 麥當勞 單店 營收  逆勢 成長 歐洲 市場 營收 去年  年來 新高 拉丁美洲 營業額 更是 連續  呈現 成長 泛亞 中東 非洲地區 營業額 呈現 位數 成長 摩斯 漢堡 檔案 資本額 億元 股東 結構 東元 日本 摩斯 成立 時間  董事長 東元 會長 茂雄 之妻 來客 每日 萬人 海外 市場  季底 廈門 展店 資料 來源 業者  到底 台灣  給我 角色   請給 追加 大包        發信站 踢踢 實業       真的 好貴      什麼 覺得 摩斯 就是      不是 早就 擊敗      已經 沒吃過 肯德基       集中 北部      既然 業績 成長 爲啥 員工福利 縮減      對啊 看不清楚 福利       我們 店長 抱怨 還講 一大堆 道理 給我      因為母 企業 東元 虧錢      好吃 明明 就是 一哥      這種 事情 店長 抱怨 怎會 有用      可能 店長 本來 閉一隻眼 最後 經理 認真 起來 這樣      然後 還有 聽說 因為 福利 太多 導致 公司 所以 縮減      其實 應該 母公司 新聞 光鮮亮麗       真的 吃不飽       真的 好貴 蠻常        好吃 吃不飽 常吃 應該 破產       比較 適合 食量 熟女 應該 他們 主力 客群       員工福利 減少 股東 應該 笑呵呵       好吃 吃不飽 常吃 應該 破產       好吃 吃不飽 常吃 應該 破產      好吃 明明 就是 一哥      希望 不要 因為 拓展 店數 品質 下降      開放 法人 加盟 是不是 以後 學校 裡面 突然      學校 裡面 賣肉 燥飯 傷腦筋      苗栗       就是 學校  大概 星期 一次             怎麼 看成  糟糕      差不多 時候 開始      套餐 可以 優惠 一點 炸雞 飲料 便宜 七塊      覺得  地點      台北 摩斯 誇張 南部 摩斯 可憐      不過 摩斯 屬於 高價位 鄉下 地方 難以 生存      開在 雲林 苗栗 南投 台東 難賺      以前 學校 摩斯 時候 超常    ,1,1506
4,5,5,     新聞 摩斯 擴增 蔬果 銷售 營收大 補時        摩斯 擴增 蔬果 銷售 營收 大補 今年 成長  肯德基 搶生意 強打 兒童 市場 台北 報導 速食店 積極 發展 周邊 商機 麥當勞 推外 送與  小時 營業 服務 今年  家店 之中  家有  小時 營業 目標  據點 肯德基 則是 強打 兒童 市場 市場 老三 摩斯 漢堡 則在  家店 開設 早市 開賣 蕃茄 萵苣 高麗 蔬果 食材 訴求 產地 直送 預估 今年 營收 還可 成長  出奇 消費者 荷包 愈來愈 夜市 路邊 便宜 小吃 勞工 主流 分食 台灣 連鎖 速食店 因此 國內 速食 餐飲 龍頭 麥當勞 肯德基 摩斯 漢堡 展店 不易 情況 背負 業績 成長 壓力 近來 積極 挖掘 商機 其中 積極 開發 日台 合資 摩斯 漢堡 除了 一般 商品 可以 發現 愈來愈多 設有 樂活 早市 就是 門市 可以 買到 摩斯 食材 例如 蕃茄 萵苣 高麗菜 產地 直送 而且 價格 摩斯 商用 大宗 採購 價格 幾乎 差不多 摩斯 表示 先前 賣過 包裝 有機 成效 非常 不過 因為 產地 季節 不同 因此 商品 並非 常態 不同 時間 將有 不同 季節 商品 像是 目前 主打 春季 蕃茄 萵苣 高麗菜 契作 農產 地直 摩斯 節慶 禮盒 業績 除了 這種 生鮮 超市 以外 摩斯 拓展 禮盒 商機 從早 果凍 可可粉 玉米濃湯 現在 增加 蛋糕 麻薯 不同 節慶 禮盒 預購 業績 因此 去年 業績 高達  億元 較前年  億元 成長  速食 業中 表現 相當 麥當勞 刺激 中產階級 消費 加點 餐車 服務 台灣 麥當勞 總裁 李明元 指出 若外 服務 能達 預期 目標 麥當勞 不必 都會區 增設 據點 未來 只會 風景區 郊區 新店 麥當勞  小時 據點 李明元 表示 將在 之內 陸續 投資  億元 全面 改裝 門市 今年 目標 全台 麥當勞  提供 現點現 服務  提供  小時 服務 引進   進駐 麥當勞 這些 額外 周邊 商機 就是 未來 主要 成長 動能 台灣 麥當勞 積極 調整 營運 腳步 總店  家店 前年 相近 但營 收則 維持 穩定 成長 特別 搶攻 咖啡 市場 引進  麥當勞 設置 咖啡 專賣店 目前 已有   引進 單店 營收 成長  計劃 擴大  而展 謹慎 台灣 肯德基 表示 節省 租金 肯德基 未來 鬧區 一定 增開 大店 而是 更多 外帶 櫃位 取代 除此之外 肯德基 積極 拓展 兒童 市場 除了 強化 兒童 餐點 推出  玩家 故事 律動 讀經 班到 遊樂園 小朋友 免費 玩樂 同時 中國 已達  第一 肯德基 考慮 交流 兩岸 經驗 熱賣 商品 兩地 互通  蘋果日報 發信站 踢踢 實業    ,1,925
5,6,6,    情報 摩斯 漢堡 早餐 兩款 新品 上市 時間       明天 開始 摩斯 漢堡 將有 兩款 全新 早餐 商品 上市 蕃茄 起士 蛋堡 火腿 歐姆 原先 有的 火腿 杏力 蛋堡 菜單 消失 其實 兩款 漢堡 製作 方式 原本 火腿 杏力 蛋堡 相似之處 商品 中的 杏力蛋 乳酪 絲拌 蛋液 搭配 火腿 生菜 夾入 漢堡 蕃茄 吉士 蛋堡 法則 是將  蕃茄 加入 蛋汁 之後 起士片 萵苣 搭配 產品 完全 不含 肉類 適合 健康 輕食 主義者 點用 火腿 歐姆 蛋堡 火腿 杏力 蛋堡 更加 類似 主要 差別 只是 原先 乳酪 換成 起士片 起士片 放在 蛋液 一起 再用 蛋將 起士 包覆 起來 試吃 感覺 比起 濃濃的 起士味 濃稠滑 口感 搭配 蔬菜 生菜 換成 萵苣 避開 生菜 熱氣 容易 變黑  兩款 漢堡 單點 價格  搭配 套餐 飲料  並不貴 建議 喜歡 清爽 口感 可點 蕃茄 起士 蛋堡 鍾愛 起士 加熱 融化 香濃 風味 者則 選擇 火腿 歐姆 蛋堡 發信站 踢踢 實業     編輯  來自       火腿 歐姆       火腿 歐姆       今天 竟然 注意       杏力 沒了 希望 歐姆 蛋能 更好       三樓 明天 第一天 上市       補充 一下 原有 豬排 三明治 醬換       換成 摩斯 豬排 一樣       杏力 好吃       我愛吃 杏力 竟然 希望 歐姆 一樣       好吃       杏力 就是 歐姆 蛋嗎 只是 換個 名字       有點 一樣 乳酪 換成 吉士 生菜       換成 萵苣 還蠻 好吃       加速 決定 儲值卡 原本 還在 猶豫 看來       我會 常常 摩斯 早餐       希望 歐姆 好吃 一點       今天 歐姆 很棒 但是 火腿 太硬       有人 吃過 蕃茄 起司 了嗎       今天 儲值卡 蕃茄 起士 套餐 漢堡       起來 身體 感覺 輕鬆 沒有 肉類 負擔       蕃茄 生菜 可以 吃出 新鮮 感覺 蕃茄       蛋中 不會 突兀 口感 起來 軟嫩       蕃茄       挖屋 好像 好吃 感覺     ,1,707
6,7,7,  爛漫 爛漫     新聞 摩斯 漢堡 一週 一日 蔬食 活動 時間        看到 漢堡 名字 速食 情報 蔬食 當道 無肉 漢堡 水溫 國人 飲食習慣 越來越 重視 蔬食 攝取 健康 概念 包括 麥當勞 漢堡 王都 薯條 免費 沙拉 方案 摩斯 漢堡 昨天 推出 款無肉 蔬食 漢堡 其中 杏鮑菇 珍珠 堡連 吃素 食用 摩斯 漢堡 表示 根據 調查  外食 消費者 願意 響應 蔬食 選擇 不吃 蔬食 女性 意願 男性 小孩 家庭 單身 推出 樂活 蔬食 菜單 符合 無肉 油炸 簡易 烹調 新鮮 現做 蔬食 原則 摩斯 漢堡  推出 第一款 全素的 珍珠 不過 口感 不算 理想 不成 今年 推出 蔬食 漢堡 素食 牛蒡 珍珠 套餐 搭配 寒天 藻鮮蔬 沙拉 及無糖 玄米鮮 綠茶 熱量 只有  大卡 麥當勞 今年 開始 套餐 中薯 免費 換成 陽光 沙拉 雖然 價格 一樣  入夏 以來 更換 沙拉 比例 增加 陽光 沙拉 千島 醬為例 熱量  大卡 兒童 餐小薯 亦可 換成 百香果 沙拉 熱量 只有  大卡 漢堡 暑假 推出 套餐 薯條 更換 活力 蔬棒 紅蘿蔔 西洋 更換 比例 慢慢 增加 而且 女性 居多 另外 兒童 亦可 換成 活力 鮮蔬 相較 之下 超值 肯德基 豪華 經濟 套餐  中薯 升級 陽光 鮮蔬 沙拉     危險 裡面 只有       發信站 踢踢 實業    ,1,485
7,8,8,  爛漫 爛漫    新聞 摩斯 漢堡 一週 一日 蔬食 活動 時間        全台 目前 已有 八個 縣市 的中 小學 訂定 蔬食 摩斯 漢堡 將是 第一家 率先 實施 蔬食 餐飲業 宣佈 每週 一為  蔬食 全台  家門 同步 推出 二款 蔬食 漢堡 超低 蔬食 套餐 連鎖 餐飲 通路 第一份 蔬食 菜單 即將 誕生 摩斯 漢堡 執行 副總 尚仁 先生 鼓勵 員工 消費者 共同 響應 一週 一日 蔬食 活動 特地 選在 小學 開學 第一天 小朋友 共進 蔬食 午餐 從小 培養 良好 飲食習慣         所以 以後 吃素 可以 摩斯 危險 裡面 只有       發信站 踢踢 實業      我媽 之前 那個 難吃      題外話 覺得 強迫 發育 小孩 吃素 目的 政策      喜歡 希望 可以 出像 菜狗堡 那樣 看起來      漢堡      沒有 強迫 小孩 吃素 一週 一次 蔬食 希望      孩多 蔬菜 而已 現在 很多 小孩 愛吃速 食肉類 甜食 蔬菜 攝取      這是 事實 好吃 希望 這個 蔬食 好吃 一點      蔬食 素食 不要 誤會      均衡 偶爾 一次 蔬食 不錯      學姐 打算 小孩 斷奶 開始 吃素      樓上 小孩 吃素 小孩 發育 完成 營養 均衡      吃素 可以 均衡 可是 必要 斷奶 開始 注定 和尚      硬是 限制 小孩 飲食 實在 是種 缺德 行為      不是 身體 狀況 因為 自己 想法 限制 實在      某些 仿葷 素食 不如 不吃 蔬食 不錯 有時候 一定      學姐 自己 吃素 注意 比較 攝取 維生素      身體 沒有 認為 特別 強健 堅持 小孩 斷奶 吃素      朋友 是從 媽媽 開始 吃素 身體 沒有 比較      媽媽 懷孕 吃素 小孩子 懷胎 就是 素食 營養 均衡      只是 一種 飲食習慣 而已      吃素 營養 均衡      吃素 要費 心思 均衡 因為 有些 營養素 存在 葷食      所以 需要 特別注意 這種 忽略 營養      快要 下市 以後 杏鮑菇 取代 還滿 詢問      認識 阿姨 全家 吃素 小孩 還是  公分 好壯 這看 個人      政策 一週 不過 一次 可能 阻礙 發育      台灣 多數 習慣 有個 大塊 肉當 主菜 青菜 小小 兩三    ,1,785
8,9,9,      抱怨 摩斯  抱怨 一二 紅茶 怎麼 時間       摩斯 經典 其中 之一 就是 紅茶 包現 迅速 冰鎮 不過 看看 最近 板上 發文 有人 紅茶 有人 變得 很澀 摩斯 最引以 為傲 紅茶 到底 怎麼 最近 店長 紅茶 紅茶 動作 一定 不然 紅茶 一定 會澀 難喝 邊說邊 紅茶 桶裝   過濾 水用 電磁爐 之後 店長 熟練 動作 放在 水中 並把 電磁爐 保溫 狀態 不是 泡茶 時候 一定 保持 溫度 如果 不冷 不熱 狀態 出來 絕對 時間 一到 店長 快速 包夾 出來 馬上 倒入 砂糖 攪拌 整個 過程 不到 一分鐘 可以 多一點點 但是 不能 而且 攪拌 速度 裡面 不能 溶解 攪拌 之後 店長 以前 從來沒 看過 舉動 冰塊 直接 加入 紅茶 詢問 之下 原來 叫做 冰鎮 請原諒 才疏學淺  攪拌 速度 不要 紅茶 中間 溫度 太久 馬上 冰鎮 中間 溫度 應該  最熱 最冰 之間 攪到 冰塊 剩下 一點點 時候 店長 趕快 這桶 果汁機 因為 紅茶 快沒了 一次 茶泡 太久 大人 很慘 然後 那桶 整鍋 倒掉 心疼 然後 倒掉 之前 一口 最近 板上 抱怨 不少 可是 店裡 接到 任何 有關  可能 內場 工讀生 紅茶 太淡 太澀 的話 客人 第一個 應該 不會 所以 知道 店裡 紅茶 狀況 可是 紅茶 絕對 小心翼翼 注意 上面 那些 事項 很怕 我們 出現 這個 板上  專家 總是 我們 不要 漢堡 這種 垃圾 食物 營養 食物 例如 芝麻 生菜 蕃茄 小黃瓜 牛肉 發信站 踢踢 實業      請問 大是 哪家       現在 這種 煮法 研修 那裡      以前 冰塊 不是 加在 紅茶 冰水 冰鎮 難怪 變淡       應該 冰塊 急著出 紅茶 準確      使用 磅秤      只有 研修 訓練 有用 磅秤 秤冰      不過 之後 紅茶 好喝 不膩 民權 林森 路口      那家 紅茶 淡到 一口 受不了 覺得  應該 不在 冰塊 上面      直接 加進去 不算 冰鎮      以前  打工 煮法 完全 不同      聽說 這是 煮法 之前 有次 製冰機 壞掉 知道 煮法      一次 冰水 冷卻 同冰 咖啡 用法      紅茶 好多 方法      只會 以前 煮法       民權 林森 路口 那間 真的 淡得 一樣 民權西路 還好      還是 以前 冰水 冰鎮 方法 好喝 煮法 感覺 那麼      以前 煮法 時間 比較 現在 直接 冰塊 比較      一年 多前 煮法 雖然 剛進 摩斯 時候      煮法 的話 紅茶 是不是 應該 先泡 一點      參見       冰水 就是 冰塊 反而 打壞 本來 口味 要直      接加 冰塊 的話 那泡 時間 水量 冰塊 多寡 很准 才能      品質 反而 費事          ,-1,1038
9,10,10,      抱怨 真的 慣壞 客人 時間       大家 摩斯  今天 大家 分享 最近 服務 客人 血淚 我們 店裡 百貨公司 櫃位 座位 不多 總共 大概  桌子  加上 個人 吧檯 所以 算是 位子 每到 假日 百貨 人潮 洶湧 我們 店裡 水洩不通 常常 客滿 正常 事情 甚至 接到 訴說 座位 太少 這次 來說 座位 某天 來到 店裡 準備 幫忙 外面  結果 店長 不用 發啦 現在 生意 太好 客席 幫忙 卡位 處理 垃圾 收拾 座位 桌椅 送餐 客席 工作 基本 工作 必要 還要 客人 餐盤 回收 還要 垃圾 紙巾 檸檬水 外面 看到 垃圾 出來 先換個 垃圾 結果 垃圾 還沒換 一批 客人 離開 一批 客人 進來 大概 五六 桌面 清理 垃圾 突然 客人 座位 還要 先幫 客人 桌子 真是 不可開交 可是 覺得 外面 顧得 乾乾淨淨 時候 心裡 成就感 會蓋過 勞累 身體 加上 店長 稱讚 會大吐 一些 傲客 不悅  假日 時候 客席 總是 人滿 這次 四個 一同 要來 我們 店裡 用餐 因為 不到 位子 苦惱 所以 幫忙 厚著 臉皮 已經 完餐 一段時間 客人 解釋 狀況 客人 準備 離開 準備 四個 入座 一個 爸爸 帶著 三個 小孩 直接 坐到 那個 位子 那個 爸爸 解釋 一半 那個 爸爸 空位 可以 直接 坐下 第一次 聽到 你們 還幫 人留 位子 情況 其實 這個 差點 律師 來告 毀謗 迫於 無奈 只好 再花個 三分鐘 四個 位子 之後 他們 送餐 那個 爸爸 還問 不要 發票 出來 一副 以為 麻煩 樣子 內心  送餐 不是 號碼牌 給就 好了嗎 第一次 聽到 還要 發票 出來 情況 幾個 小鬼 還在 身邊 繞來 差點 他們 真是 愉快 服務 經驗 專家 總是 我們 不要 漢堡 這種 垃圾 食物 營養 食物 例如 芝麻 生菜 蕃茄 小黃瓜 牛肉 發信站 踢踢 實業      辛苦 而且 先點 餐再 入座 那個 爸爸 是不是 入座      先點 餐再 入座 手拿著 餐盤 到處 座位 不是      辛苦      加油      小鬼       辛苦      辛苦 不過 這些 其實 遇到 小事      小智耶 推推      推考 小鬼 痛恨 他們      先點 餐再 入座 位子 這是 熱門 必備 知識      哪家      推烤 小鬼    ,-1,850
